实际抵达日期,产品描述,收货人,收货人地址,发货人,发货人地址,通知人,承运人,原产国,海外装货港,目的港,目的国,启运国,产品件数/拼箱货柜,数量单位,TEU,千克重/拼箱货柜,千克重/件,尺寸,货运收货人,货柜号,卸货港,卸货港所在州,装运标志及编号,产品海关编码,货柜运输类型,支线承运人收货地,货运托运人,双抬头托运人,货柜个数/船东提单,收货人所在州
2023-09-12,SILICONE RUBBER SEAL,SAEHAN ELECTRONICS AMERICA INC.,"7880 AIRWAY RD STE B5GSAN DIEGO, CA 92154 USA",YU HENG INDUSTRY LIMITED,"BUILDING NO.13, SHIDAI XIANGHAIGARDEN, DOUMEN DISTRICT, ZHU HAI,519090, GUANGDONG, CHINA",ATC LOGISTICS INC.,AAAG-ATC LOGISTICS INC,CHINA,YANTIAN,LOS ANGELES,UNITED STATES,CHINA,2,PKG,0.25,812.5,406.25,2000*806*802,ATC LOGISTICS INC.,KOCU2091217,LOS ANGELES,CALIFORNIA,NO MARKS,0,FCL,SHENZHEN,ATC LOGISTICS (HONG KONG) LIMITED,TRANSHIPMENT,1,CALIFORNIA
2023-09-12,"SILICONE OIL SILICONE OIL(H.S.CODE 2931.90) - KF-995 INV NO.SDAT-3360 COUNTRY OF ORIGIN JAPAN STOLT REF 10712393XXX 15635 JACINTOPORT BLVD HOUSTON, TX 77015(FMC 021620), USA PH +1 281 457 0303 EIN 13-1932470 -WAY BILL- 1 TANK-CONTAINER FREIGHT ALL PREPAID INCLUDING THC AT DESTINATION",KDC ONE DEVELOPMENT CORPORATION,"315 KNOWLTONKNOWLTON, QUEBEC J0E 1V0, CANADAPHONE 450-242-2727","SHIN-ETSU CHEMICAL CO.,LTD.","4-1, MARUNOUCHI 1-CHOME,CHIYODA-KU, TOKYO, 100-0005 JAPANTEL (03)6812-2402 FAX (03)6812-2412",1)BGL BROKERAGE LTD;2)SHIN-ETSU SILICONES OF AMERICA,HLCU-HAPAG LLOYD A G,JAPAN,BUSAN/PUSAN,TACOMA,CANADA,SOUTH KOREA,1,PCS,1.0,19580.0,19580.0,2000*806*800,None,UTCU4837710,TACOMA,WASHINGTON,NO MARKS,293190,FCL,"TOKYO, JP",HAPAG LLOYD A G,TRANSHIPMENT,1,None
2023-09-12,SHIN-ETSU SILICONE BRAND,SHIN-ETSU SILICONES OF AMERICA INC.,HEAD OFFICE 1150 DAMAR DRIVE AKRON OH 44305 US IMPORT DIV. TE 330-630-9860,"SHIN-ETSU CHEMICAL CO.,LTD.","HEAD OFFICE, 4-1, MARUNOUCHI1-CHOMECHIYODA-KU, TOKYO 100-0005 JP EXPORT DIV. TE 03-6812-2400","SHIN-ETSU SILICONES OF AMERICA, INC",MQLA-MITSUBISHI LOGISTICS AMERICA CORPORATION,THAILAND,LAEM CHABANG,LOS ANGELES,UNITED STATES,THAILAND,6,PL,0.0,132.0,22.0,0,MITSUBISHI LOGISTICS AMERICA CORP.,TCKU4391326,LOS ANGELES,CALIFORNIA,KEG-2003H-40-A/B TJ-40316088,0,LCL,LAEM CHABANG,"MITSUBISHI LOGISTICS (THAILAND) CO., LTD",TRANSHIPMENT,1,OHIO
2023-09-12,SHIN-ETSU SILICONE BRAND,SHIN-ETSU SILICONES OF AMERICA INC.,HEAD OFFICE 1150 DAMAR DRIVE AKRON OH 44305 US IMPORT DIV. TE 330-630-9860,"SHIN-ETSU CHEMICAL CO.,LTD.","HEAD OFFICE, 4-1, MARUNOUCHI1-CHOMECHIYODA-KU, TOKYO 100-0005 JP EXPORT DIV. TE 03-6812-2400","SHIN-ETSU SILICONES OF AMERICA, INC",MQLA-MITSUBISHI LOGISTICS AMERICA CORPORATION,THAILAND,LAEM CHABANG,LOS ANGELES,UNITED STATES,THAILAND,97,PKG,0.0,19447.0,200.48,0,MITSUBISHI LOGISTICS AMERICA CORP.,TCKU4391326,LOS ANGELES,CALIFORNIA,KF-6017 TJ-40316495,0,LCL,LAEM CHABANG,"MITSUBISHI LOGISTICS (THAILAND) CO., LTD",TRANSHIPMENT,1,OHIO
2023-09-12,SHIN-ETSU SILICONE BRAND,SHIN-ETSU SILICONES OF AMERICA INC.,HEAD OFFICE 1150 DAMAR DRIVE AKRON OH 44305 US IMPORT DIV. TE 330-630-9860,"SHIN-ETSU CHEMICAL CO.,LTD.","HEAD OFFICE, 4-1, MARUNOUCHI1-CHOMECHIYODA-KU, TOKYO 100-0005 JP EXPORT DIV. TE 03-6812-2400","SHIN-ETSU SILICONES OF AMERICA, INC",MQLA-MITSUBISHI LOGISTICS AMERICA CORPORATION,THAILAND,LAEM CHABANG,LOS ANGELES,UNITED STATES,THAILAND,100,PKG,0.0,18593.02,185.93,0,MITSUBISHI LOGISTICS AMERICA CORP.,TCLU3519180,LOS ANGELES,CALIFORNIA,KEG-4202-B TJ-40315016,0,FCL,LAEM CHABANG,"MITSUBISHI LOGISTICS (THAILAND) CO., LTD",TRANSHIPMENT,2,OHIO
2023-09-12,SILICONE RUBBER HS CODE 391000000 1PALLET=12DRUMS,NOVARA SOLUTIONS GROUP,"410 BRICKYARD RD,FREEHOLD FREEHOLD NJ 07728 US",HONGKONG GUOCHUANG SILICONE TECHNOL,RM18B 27/F HO KING OMM CTR 2-16FAYUEN ST HK HK 999077 CN,None,NAQA-NACA (VANGUARD LOGISTICS SERVICES),CHINA,YANTIAN,"NEW YORK/NEWARK AREA, NEWARK",UNITED STATES,CHINA,12,DR,0.05,336.0,28.0,4000*900*800,None,EITU9247335,"NEW YORK/NEWARK AREA, NEWARK",NEW JERSEY,SILICONE RUBBER,391000000,LCL,SHENZHEN,EVERGREEN LINE,TRANSHIPMENT,1,NEW JERSEY
2023-09-12,SHIN-ETSU SILICONE BRAND,SHIN-ETSU SILICONES OF AMERICA INC.,HEAD OFFICE 1150 DAMAR DRIVE AKRON OH 44305 US IMPORT DIV. TE 330-630-9860,"SHIN-ETSU CHEMICAL CO.,LTD.","HEAD OFFICE, 4-1, MARUNOUCHI1-CHOMECHIYODA-KU, TOKYO 100-0005 JP EXPORT DIV. TE 03-6812-2400","SHIN-ETSU SILICONES OF AMERICA, INC",MQLA-MITSUBISHI LOGISTICS AMERICA CORPORATION,THAILAND,LAEM CHABANG,LOS ANGELES,UNITED STATES,THAILAND,80,DR,0.0,17680.0,221.0,0,MITSUBISHI LOGISTICS AMERICA CORP.,MOAU0698245,LOS ANGELES,CALIFORNIA,KF-995 TJ-40314671,0,FCL,LAEM CHABANG,"MITSUBISHI LOGISTICS (THAILAND) CO., LTD",TRANSHIPMENT,2,OHIO
2023-09-12,SILICONE RUBBER HS CODE : 391000,MG CHEMICAL INC.,"98 WADSWORTH BLVD NUM 127-3255LAKEWOOD, CO 80226, UNITED STATES",P.G SILICONE LIMITED,"FLAT/RM 1405B, 14/F, THE BELGIANBANK BUILDING, NOS. 721 - 725NATHAN ROAD, MONG KOK,KOWLOON, HONG",None,CGLS,CHINA,YANTIAN,LOS ANGELES,UNITED STATES,CHINA,26,PKG,1.0,19880.0,764.62,2000*806*800,HASTE GLOBAL LOGISTICS INC,MEDU3435801,LOS ANGELES,CALIFORNIA,NO MARKS,391000,FCL,YANTIAN,"CASIA GLOBAL LOGISTICS CO.,LTD.",TRANSHIPMENT,1,COLORADO
2023-09-12,"69 PIECES BEING 40 PIECES BRB DM 1000, DRUM 200 KG HS CODE 3 9100000 NETT WEIGHT 8000,00 KGS GROSS WEIGHT 8640,00 KG 20 PIECES BRB SILICONE OIL 12500 CST, DRUM 20 0 KG HS CODE 39100000 NETT WEIGHT 4000,00 K G GROSS WEIGHT 4320,00 KG8 PIECES BRB CAPRYLYL METHICONE, DRUM 170 KG HS CODE 39100000 NETT WEIGHT 1360,00 KG GRO SS WEIGHT 1488,00 KG 1 PIECE BRB FLUID 1464, IBC 900 KG HS CODE 3 9100000 NETT WEIGHT 900,00 KG GROSS WEIGHT 980,00 KG HS CODE 391000",BRB NORTH AMERICA INC.,320 ELIZABETH AVE. NEWARK NJ 07112 US,BRB INTERNATIONAL B.V.,BRANSKAMP 12 ITTERVOORT 6014 CB NL,None,FMAL,NETHERLANDS,ROTTERDAM,"NEW YORK/NEWARK AREA, NEWARK",UNITED STATES,NETHERLANDS,69,PCS,1.0,15428.0,223.59,2000*806*802,"ECU WORLDWIDE (USA), INC.",MOAU1435264,"NEW YORK/NEWARK AREA, NEWARK",NEW JERSEY,NO MARKS,39100000;391000,FCL,ROTTERDAM,FCL MARINE AGENCIES B.V. CARE OF PRISM GLOBAL LIMITED,TRANSHIPMENT,1,NEW JERSEY
2023-09-12,SHIN-ETSU SILICONE BRAND,SHIN-ETSU SILICONES OF AMERICA INC.,HEAD OFFICE 1150 DAMAR DRIVE AKRON OH 44305 US IMPORT DIV. TE 330-630-9860,"SHIN-ETSU CHEMICAL CO.,LTD.","HEAD OFFICE, 4-1, MARUNOUCHI1-CHOMECHIYODA-KU, TOKYO 100-0005 JP EXPORT DIV. TE 03-6812-2400","SHIN-ETSU SILICONES OF AMERICA, INC",MQLA-MITSUBISHI LOGISTICS AMERICA CORPORATION,THAILAND,LAEM CHABANG,LOS ANGELES,UNITED STATES,THAILAND,80,DR,0.0,17680.0,221.0,0,MITSUBISHI LOGISTICS AMERICA CORP.,TCLU3380089,LOS ANGELES,CALIFORNIA,KF-995 TJ-40314671,0,FCL,LAEM CHABANG,"MITSUBISHI LOGISTICS (THAILAND) CO., LTD",TRANSHIPMENT,2,OHIO
2023-09-12,SILICONE RUBBER CABLE/BOOTS,VENTEX TECHNOLOGY LLC,"3490 VENTURE DRIVESAN ANGELO, TEXAS 76905, USA.","WUXI HUACHENG CABLE CO.,LTD.","B-4AREA, THE 2ND INDUSTRIAL RD., QINGYANG INDUSTRY PARK, JIANGYIN, JIANGSU,CHINA",VENTEX TECHNOLOGY LLC,MGNG-MIRAGROWN LOGISTICS CORPORATION,CHINA,SHANG HAI,LOS ANGELES,UNITED STATES,CHINA,2,CTN,0.01,690.0,345.0,4000*800*800,LUCKY CONSOL INC,CGMU5471259,LOS ANGELES,CALIFORNIA,NO MARKS,0,LCL,LOS ANGELES,"PACIFIC LINK INTERNATIONAL FREIGHT FORWARDING CO.,LTD",TRANSHIPMENT,1,TEXAS
2023-09-11,SEALING PRODUCTS HOOKS RUBBER SEALS RUBBER PARTS BOLT RUBBER CAPS SILICONE SEAL COMPONENT RUBBER PLUGS ADHESIVE TAPE,ENGINEERED PRODUCTS & SERVICE INC.,"4221 COURTNEY ROAD FRANKSVILLE,WI 53126",EPSI CHINA,"YUAN QU 1 ROAD,SANBEI INDUSTRY ZONE,CIXI CITY,NINGBO,CHINA. 315300",ENGINEERED PRODUCTS AND SERVICE INC.,HNLT-HONOUR LANE SHIPPING LTD,CHINA,NING BO,LONG BEACH,UNITED STATES,CHINA,942,CTN,2.0,14347.98,15.23,4000*906*802,None,HASU5037591,LONG BEACH,CALIFORNIA,NO MARKS,0,FCL,NINGBO,MAERSK LINE,TRANSHIPMENT,1,WISCONSIN
2023-09-11,SILICONE RUBBER SHEET,EMSCO INC,"AN INDUCTOTHERM GROUP COMPANY,100 NAVE ROAD SE MASSILLON OH 44646 US","NINGBO UKEY IMPORT & EXPORT CO.,L","NO.30 CHENJIA ROAD, ZHOUXIANG TOWNCIXI CITY, NINGBO CN",EMSCO INC,ECUW,CHINA,NING BO,LONG BEACH,UNITED STATES,CHINA,5,CAS,0.01,3822.0,764.4,4000*900*800,None,TCNU7908994,LONG BEACH,CALIFORNIA,EMSCO USA C NO. : 1-5 MADE IN CHINA,0,LCL,NINGBO (ZHEJIANG),,TRANSHIPMENT,1,OHIO
2023-09-11,SANDING FLAP DISCS WRENCH BRAIDED ROPE LICENSE PLATE FRAME TASK LIGHT STAPLE GUN KNIFEELECTRIC NAIL GUN POWER SCREWDRIVER RECIPROCATING SAW GLUE HEATER FLASHLIGHT DRILL TOOL SET INDUSTRIAL THERMOMETER PIPE CUTTER SILICONE REPAIR PAD GREASE GUN ADJUSTABLE WRENCH LASER DISTANCE MEASURE TILE SQUARE LASER LASER TAPE MEASURE TENSION BELT SCREWDRIVER MASONRY TOOL STEAK KNIFE PNEUMATIC NAIL GUN AUTOMOBILE REPAIR TOOL PLIER PRY BAR INCLINOMETER PICKUP TOOL HYGROMETER KNIFE HAND LAMP BRUSH LEVEL PLASTIC MUD WOOD TOOLS HOVE VICE SOCKET WRENCH SLEEVE BASE LINE GREEN APRON ROUTER BITS SETS RUBBER HAMMER FOLDING KNIFE BICYCLE LOCK DRILL BITS,"HONG KONG BLUEBELL INTERNATIONAL CO.,LTD.",C/O FBA3388 S CACTUS AVE BLOOMINGTON CA 92316 US,NONE,NONE,None,AMZD,CHINA,SHANG HAI,LOS ANGELES,UNITED STATES,CHINA,1595,CTN,0.0,19098.05,11.97,0,"AMAZON LOGISTICS,INC.",BEAU6142062,LOS ANGELES,CALIFORNIA,NO MARKS,0,FCL,CNSHA,BEIJING CENTURY JOYO COURIER SERVICE CO. LTD,TRANSHIPMENT,1,CALIFORNIA
2023-09-11,DIY HANDMADE SUIT SIMULATED POTTED PLANT SIMULATED GREEN PLANT STICKER HAIRPIN CHRISTMAS DECORATIONS PLASTIC RECEIVING BOXPLASTIC BEADS PLASTIC VASE STORAGE BOX SET FILE BAG STATIONERY FRAME WOODEN EXHIBITS WOODEN BEADS WOODEN SHELF ERASER RUBBER SEAL CRYSTAL SUIT GLASS DIAMOND PHOTO FRAME SILICONE MOULD GRINDSTONE PENCIL CASE NOTEBOOK CARTON PAPER BAG NET BAG SCREW ULTRA LIGHT CLAY,CHANGZHOU YUEYANG HOME FURNISHING C,"/O GOLDEN STATE FC LLC11263 OLEANDER AVE, FONTANA, CA, 92337-7441US(LA FONTANA CA 92337 US","JIANGSU CHONGDONG E-COMMERCE CO., L","TDBUILDING B, WANDU COMMERCIAL PLAZA, 388 HEPING MIDDLE ROAD CHANGZHOU JI 213000 CN",GOLDEN STATE FC LLC,AMZD,CHINA,NING BO,LOS ANGELES,UNITED STATES,CHINA,1010,CTN,0.0,16542.99,16.38,0,"AMAZON LOGISTICS, INC.",TGHU6338271,LOS ANGELES,CALIFORNIA,MADE IN CHINA,0,FCL,CNNGB,BEIJING CENTURY JOYO COURIER SERVICE CO. LTD,TRANSHIPMENT,1,CALIFORNIA
2023-09-11,SILICONE RUBBER SHEETS,PITTSBURGH ELECTRICAL INSULATION,800 MARTHA STREET MUNHALL PA15120,"SANHE GREAT WALL RUBBER CO.,LTD.","WEST OF CITY, SANHE, HEBEI, CHINA",PITTSBURGH ELECTRICAL INSULATION,FCCJ-FCC LOGISTICS INC,CHINA,BUSAN/PUSAN,"NEW YORK/NEWARK AREA, NEWARK",UNITED STATES,SOUTH KOREA,600,PKG,0.93,760.02,1.27,4000*900*800,"CTL LAX, INC.",OOLU8933294,"NEW YORK/NEWARK AREA, NEWARK",NEW JERSEY,NO MARKS,0,LCL,TIANJIN,"CHARTER LINK LOGISTICS CO.,LTD TIAN",TRANSHIPMENT,1,PENNSYLVANIA
2023-09-11,METHYL HYDROGEN SILICONE OIL CAS NO 63148-57,"JMU TRADING CO.,LTD.",243 E GARVEY AVE APT T07 MONTEREY PARK CA 91755 US,"HUANGSHAN KBR NEW MATERIAL TECHNOLOGY CO.,LTD.",". XINHUI 36,HUIZHOU ,ANHUI PROVINCE, HUANGSHAN CN",None,CULO-CITY UNION LOGISTICS CO LTD,CHINA,SHANG HAI,LONG BEACH,UNITED STATES,CHINA,18,CONT,0.0,19008.0,1056.0,0,MGL (USA) INC.,TCLU2670885,LONG BEACH,CALIFORNIA,-2 PACKAGE 18 IBC OF 1000 KGS NET EACH,0,FCL,SHANGHAI CHINA,"FASTGROW INTERNATIONAL CO., INC.",TRANSHIPMENT,1,CALIFORNIA
2023-09-11,SHIN-ETSU SILICONE,SHIN-ETSU SILICONES OF AMERICA INC.,HEAD OFFICE 1150 DAMAR DRIVE AKRON OH 44305 US IMPORT DIV. TE 330-630-9860,"SHIN-ETSU CHEMICAL CO.,LTD.","HEAD OFFICE, 4-1, MARUNOUCHI1-CHOMECHIYODA-KU, TOKYO 100-0005 JP EXPORT DIV. TE 03-6812-2400","SHIN-ETSU SILICONES OF AMERICA, INC",MQLA-MITSUBISHI LOGISTICS AMERICA CORPORATION,THAILAND,LAEM CHABANG,SAVANNAH,UNITED STATES,THAILAND,80,DR,2.0,18289.2,228.62,4000*806*800,MITSUBISHI LOGISTICS AMERICA CORP.,MOFU6817997,SAVANNAH,GEORGIA,KEG-2052-2-A/B,0,FCL,LAEM CHABANG,"MITSUBISHI LOGISTICS (THAILAND) CO., LTD",TRANSHIPMENT,3,OHIO
2023-09-11,SHIN-ETSU SILICONE,SHIN-ETSU SILICONES OF AMERICA INC.,HEAD OFFICE 1150 DAMAR DRIVE AKRON OH 44305 US IMPORT DIV. TE 330-630-9860,"SHIN-ETSU CHEMICAL CO.,LTD.","HEAD OFFICE, 4-1, MARUNOUCHI1-CHOMECHIYODA-KU, TOKYO 100-0005 JP EXPORT DIV. TE 03-6812-2400","SHIN-ETSU SILICONES OF AMERICA, INC",MQLA-MITSUBISHI LOGISTICS AMERICA CORPORATION,THAILAND,LAEM CHABANG,SAVANNAH,UNITED STATES,THAILAND,40,DR,1.0,9144.6,228.62,2000*806*802,MITSUBISHI LOGISTICS AMERICA CORP.,NYKU2949910,SAVANNAH,GEORGIA,KEG-2052-2-A/B,0,FCL,LAEM CHABANG,"MITSUBISHI LOGISTICS (THAILAND) CO., LTD",TRANSHIPMENT,3,OHIO
2023-09-11,SILICONE RUBBER AMS WCIGHHSE3083346,"CSI CHEMICAL CO.,LTD.","NO 168,LINJIANG AVENUE RIVERSIDE NEWDISTRICT,HAIMEN,JIANGSU PROVINCE,CHINA,JIANGSU, ,CN","CSI CHEMICAL CO.,LTD.","NO 168,LINJIANG AVENUE RIVERSIDE NEWDISTRICT,HAIMEN,JIANGSU PROVINCE,CHINA,JIANGSU,CN",JARGO CUSTOMS BROKERS,WCIG,CHINA,SHANG HAI,LONG BEACH,CHINA,CHINA,226,CTN,1.47,3859.0,17.08,4000*906*802,"BESTOCEAN WORLDWIDE LOGISTICS, INC.",KOCU5131910,LONG BEACH,CALIFORNIA,CSI,3083346,LCL,SHANGHAI,U.S.UNITED LOGISTICS (NINGBO)INC.,TRANSHIPMENT,1,None
2023-09-11,SHIN-ETSU SILICONE,SHIN-ETSU SILICONES OF AMERICA INC.,HEAD OFFICE 1150 DAMAR DRIVE AKRON OH 44305 US IMPORT DIV. TE 330-630-9860,"SHIN-ETSU CHEMICAL CO.,LTD.","HEAD OFFICE, 4-1, MARUNOUCHI1-CHOMECHIYODA-KU, TOKYO 100-0005 JP EXPORT DIV. TE 03-6812-2400","SHIN-ETSU SILICONES OF AMERICA, INC",MQLA-MITSUBISHI LOGISTICS AMERICA CORPORATION,THAILAND,LAEM CHABANG,SAVANNAH,UNITED STATES,THAILAND,80,DR,2.0,18289.2,228.62,4000*806*800,MITSUBISHI LOGISTICS AMERICA CORP.,NYKU8280550,SAVANNAH,GEORGIA,KEG-2052-2-A/B,0,FCL,LAEM CHABANG,"MITSUBISHI LOGISTICS (THAILAND) CO., LTD",TRANSHIPMENT,3,OHIO
2023-09-11,CORK BOARD WOODEN TABLEWARE WOODEN HOLDER PIZZA PEEL TRAY WOODEN DISPLAY STAND WOODEN DECORATIONWOODEN FRAME ELECTRIC BLOOD PRESSURE MONITOR SELF-ADHESIVE ELECTRODE PADS ELASTIC BANDAGE OSTOMY BAG ALGINATE DRESSING HYDROCOLLOID DRESSING PU TRANSPARENT DRESSING ROLL SILICONE DRESSING TRANSPARENT FILM DRESSING NON-WOVEN FABRIC VACUUM BAGS PLUSH DOLL PLASTIC TOYS SELF-ADHESIVE LABEL CUBE PET FLEA COMB DOOR MAT POWER ADAPTER SILICA GEL DESICCANT SINK STRAINER RFID BLOCKING SLEEVES CENTRIFUGAL CLUTCH FOR GO KART INNER TUBE TIRE FLASH CARDS PLAYING CARDS EMPTY LIP TUBES PLASTIC BOTTLES CERAMIC DISHES CUPCAKE BOXES CUPCAKE DECORATION WRAPPERS STRAW MAT WOODEN TOYS TENNIS BALL FOR PETS WHISTLE COTTON ROPE BASKET RUBBER BANDS PLASTIC TOYS DRAWER ORGANIZER STORAGE BOX PLASTICS ORGANIZER,LOTFANCY INC.,"13207 MARLAY AVE, FONTANA CA 92337 FONTANA CA 92337 US","TAIZHOU CHENGUANG IMPORT & EXPORT T RADING CO.,LTD.",".ROOM 401,BUILDING 6,36 GUTIAN ROAD,JIANGYAN,JIANGSU,CHI TAIZHOU JI 225500 CN",GOLDEN STATE FC LLC,AMZD,CHINA,SHANG HAI,LONG BEACH,UNITED STATES,CHINA,1424,CTN,2.0,17383.05,12.21,4000*900*800,AMAZON LOGISTICS INC.,CXDU2298277,LONG BEACH,CALIFORNIA,NO MARKS,0,FCL,CNSHA,BEIJING CENTURY JOYO COURIER SERVICE CO. LTD,TRANSHIPMENT,1,CALIFORNIA
2023-09-10,H S CODE 39100020 SILICONE FLUID LK SIL 100T,BAKER PETROLITE LLC,135 INDUSTRIAL DRIVE RAYNE LA 70578 US,ELKAY CHEMICALS PVT. LTD.,"PLOT NO F-5,MIDC,LOTE-PARSHURAMINDL AREA,VILLAGE-LOTE,TAL KHED RATNAGIRI 415722 IN",None,PGSM-PEGASUS MARITIME INC,INDIA,JAWAHARLAL NEHRU/NAVA SHEVA/NHAVA SHEVA,HOUSTON,UNITED STATES,INDIA,18,PKG,1.0,18078.0,1004.33,2000*806*802,None,MSKU2804699,HOUSTON,TEXAS,60000 -,0,FCL,JAWAHARLAL NEHRU,MAERSK LINE,TRANSHIPMENT,1,LOUISIANA
2023-09-10,SILICONE RUBBER,ADL INSULFLEX INC.,94 WILLMOTT STREETCOBOURG ONK9A 0E9 CA,SHIN ETSU SILICONE TAIWANCO LTD.,11F D NO 167 TUN HUA N RDTAIPEI TW,MANTORIA INC,GBOR,TAIWAN(CN),KAO HSIUNG,TACOMA,CANADA,TAIWAN(CN),80,DR,2.0,18800.0,235.0,4000*900*800,WHALE LOGISTICS (CANADA) INC,KOCU4373605,TACOMA,WASHINGTON,NO MARKS,0,FCL,TAOYUAN,WHALE LOGISTICS COMPANY LIMITED,TRANSHIPMENT,1,None
2023-09-10,"SILICONE OIL SILICONE OIL(H.S.CODE 2931.90) - KF-995 INV NO.SDAT-3369 COUNTRY OF ORIGIN JAPAN STOLT REF 10717500XXX 15635 JACINTOPORT BLVD HOUSTON, TX 77015(FMC 021620), USA PH +1 281 457 0303 EIN 13-1932470 -WAY BILL- 1 TANK-CONTAINER FREIGHT ALL PREPAID INCLUDING THC AT DESTINATION",KDC ONE DEVELOPMENT CORPORATION,"315 KNOWLTONKNOWLTON, QUEBEC J0E 1V0, CANADAPHONE 450-242-2727","SHIN-ETSU CHEMICAL CO.,LTD.","4-1, MARUNOUCHI 1-CHOME,CHIYODA-KU, TOKYO, 100-0005 JAPANTEL (03)6812-2402 FAX (03)6812-2412",1)BGL BROKERAGE LTD;2)SHIN-ETSU SILICONES OF AMERICA,HLCU-HAPAG LLOYD A G,JAPAN,TOKYO,TACOMA,CANADA,JAPAN,1,PCS,1.0,19590.0,19590.0,2000*806*800,None,UTCU4928560,TACOMA,WASHINGTON,NO MARKS,293190,FCL,"TOKYO, JP",HAPAG LLOYD A G,TRANSHIPMENT,1,None
2023-09-10,SHIN-ETSU SILICONE HS CODE : 3910.00,SHIN-ETSU SILICONES OF AMERICA INC.,1150 DAMAR DRIVE AKRON OH 44305 US,"SHIN-ETSU CHEMICAL CO.,LTD.",4-1 MARUNOUCHI 1-CHOMECHIYODA-KU TOKYO 1000005 JP,SHIN-ETSU SILICONES OF AMERICA INC,MQLA-MITSUBISHI LOGISTICS AMERICA CORPORATION,JAPAN,TOKYO,TACOMA,UNITED STATES,JAPAN,480,PKG,0.0,17749.2,36.98,0,MITSUBISHI LOGISTICS AMERICA,TCLU2541954,TACOMA,WASHINGTON,"SESA AKRON,OH",391000,FCL,TOKYO,MITSUBISHI LOGISTICS CORPORATION,TRANSHIPMENT,5,OHIO
2023-09-10,SILICONE RUBBER AND FLUID HS CODE : 3910.00,SHIN-ETSU SILICONES OF AMERICA INC.,1150 DAMAR DRIVE AKRON OH 44305 US,"SHIN-ETSU CHEMICAL CO.,LTD.",4-1 MARUNOUCHI 1-CHOMECHIYODA-KU TOKYO 1000005 JP,SHIN-ETSU SILICONES OF AMERICA INC,MQLA-MITSUBISHI LOGISTICS AMERICA CORPORATION,JAPAN,TOKYO,TACOMA,UNITED STATES,JAPAN,480,PKG,0.0,10258.51,21.37,0,MITSUBISHI LOGISTICS AMERICA,TRHU3786802,TACOMA,WASHINGTON,"SESA AKRON,OH",391000,FCL,TOKYO,MITSUBISHI LOGISTICS CORPORATION,TRANSHIPMENT,2,OHIO
2023-09-10,SHIN-ETSU SILICONE HS CODE : 3910.00,SHIN-ETSU SILICONES OF AMERICA INC.,1150 DAMAR DRIVE AKRON OH 44305 US,"SHIN-ETSU CHEMICAL CO.,LTD.",4-1 MARUNOUCHI 1-CHOMECHIYODA-KU TOKYO 1000005 JP,SHIN-ETSU SILICONES OF AMERICA INC,MQLA-MITSUBISHI LOGISTICS AMERICA CORPORATION,JAPAN,TOKYO,TACOMA,UNITED STATES,JAPAN,72,PKG,0.0,2662.38,36.98,0,MITSUBISHI LOGISTICS AMERICA,NYKU3877137,TACOMA,WASHINGTON,"SESA AKRON,OH",391000,FCL,TOKYO,MITSUBISHI LOGISTICS CORPORATION,TRANSHIPMENT,5,OHIO
2023-09-10,"SILICONE RUBBER AND FLUID HS CODE : 3910.00 (8DRUMS,310CANS,127CARTONS)",SHIN-ETSU SILICONES OF AMERICA INC.,1150 DAMAR DRIVE AKRON OH 44305 US,"SHIN-ETSU CHEMICAL CO.,LTD.",4-1 MARUNOUCHI 1-CHOMECHIYODA-KU TOKYO 1000005 JP,SHIN-ETSU SILICONES OF AMERICA INC,MQLA-MITSUBISHI LOGISTICS AMERICA CORPORATION,JAPAN,TOKYO,TACOMA,UNITED STATES,JAPAN,445,PKG,0.0,9510.5,21.37,0,MITSUBISHI LOGISTICS AMERICA,NYKU3731456,TACOMA,WASHINGTON,"SESA AKRON,OH",391000,FCL,TOKYO,MITSUBISHI LOGISTICS CORPORATION,TRANSHIPMENT,2,OHIO
2023-09-10,SHIN-ETSU SILICONE HS CODE : 3910.00,SHIN-ETSU SILICONES OF AMERICA INC.,1150 DAMAR DRIVE AKRON OH 44305 US,"SHIN-ETSU CHEMICAL CO.,LTD.",4-1 MARUNOUCHI 1-CHOMECHIYODA-KU TOKYO 1000005 JP,SHIN-ETSU SILICONES OF AMERICA INC,MQLA-MITSUBISHI LOGISTICS AMERICA CORPORATION,JAPAN,TOKYO,TACOMA,UNITED STATES,JAPAN,471,PKG,0.0,17416.4,36.98,0,MITSUBISHI LOGISTICS AMERICA,NYKU3657338,TACOMA,WASHINGTON,"SESA AKRON,OH",391000,FCL,TOKYO,MITSUBISHI LOGISTICS CORPORATION,TRANSHIPMENT,5,OHIO
